method_label,horizon,n_known,event_rate,AUROC,AUPRC,Brier,mean_predicted_risk,calibration_gap_mean_pred_minus_observed
ADNI validation Platt,1y,12052,0.1418021905077995,0.7331471148161083,0.297767354932675,0.1189072897208046,0.0644263116297717,-0.0773758788780278
Frozen raw sigmoid,1y,12052,0.1418021905077995,0.7331471148161083,0.297767354932675,0.1217252960040389,0.1267746215559284,-0.0150275689518711
NACC cross-fitted Platt,1y,12052,0.1418021905077995,0.7329000026985457,0.2971138608531589,0.110966187353583,0.1417418505935814,-6.033991421811047e-05
NACC cross-fitted isotonic,1y,12052,0.1418021905077995,0.7297362264836867,0.2894417151127367,0.1109233014235763,0.1419531151719173,0.0001509246641178
ADNI validation Platt,2y,9331,0.2892508841496088,0.7399123552886272,0.5290217284394253,0.2040384947499749,0.1291184406968795,-0.1601324434527293
Frozen raw sigmoid,2y,9331,0.2892508841496088,0.7399123552886272,0.5290217284394253,0.1916849617242,0.2029404085635166,-0.0863104755860921
NACC cross-fitted Platt,2y,9331,0.2892508841496088,0.7397074922982242,0.5287891445010757,0.1746842448742237,0.2892822255640445,3.134141443567051e-05
NACC cross-fitted isotonic,2y,9331,0.2892508841496088,0.7362509111849942,0.5177658734477694,0.1749268231267799,0.289492062628818,0.0002411784792092
ADNI validation Platt,3y,7614,0.4251379038613081,0.7395729735341783,0.6644705677359048,0.2538644275469209,0.2258460223201792,-0.1992918815411288
Frozen raw sigmoid,3y,7614,0.4251379038613081,0.7395729735341783,0.6644705677359048,0.2413760330224282,0.2766628493994147,-0.1484750544618934
NACC cross-fitted Platt,3y,7614,0.4251379038613081,0.7393106282178679,0.6639705796762096,0.2028775510955358,0.4251775134177405,3.960955643245168e-05
NACC cross-fitted isotonic,3y,7614,0.4251379038613081,0.7354986456078969,0.6539569058396132,0.2028347287240019,0.4254377373498467,0.0002998334885386
ADNI validation Platt,5y,5800,0.6425862068965518,0.7494522765840491,0.835033396936701,0.2673240115993444,0.4109358309345455,-0.2316503759620062
Frozen raw sigmoid,5y,5800,0.6425862068965518,0.7494522765840491,0.835033396936701,0.2860599778144731,0.4049695295927252,-0.2376166773038265
NACC cross-fitted Platt,5y,5800,0.6425862068965518,0.7483156056940197,0.8333173272194565,0.1912867367257266,0.6426678175763182,8.161067976641956e-05
NACC cross-fitted isotonic,5y,5800,0.6425862068965518,0.7454963849024945,0.8285142190367443,0.1888202729791198,0.6425931826251896,6.975728637836909e-06
